feature,label,mean_auc_loss,sd_auc_loss,holdout_auc
C_Size,Customer size,0.023023020025636266,0.010023858832112499,0.5361007795919226
quarter_sin,Quarter sine,0.011529660215596139,0.00937870987202106,0.5361007795919226
C_Firmage,Customer age,0.008580816995524272,0.003231159442963634,0.5361007795919226
quarter_cos,Quarter cosine,0.0054537813360231065,0.005524037997796071,0.5361007795919226
C_Duration,Relationship duration,0.004436424383786262,0.004161883107873403,0.5361007795919226
Affected,Climate-finance exposure,0.004276513480005968,0.005076857866900596,0.5361007795919226
C_Lev,Customer leverage,0.0035070079219988682,0.006506875820338894,0.5361007795919226
S_FC,Supplier financing constraint,0.0013879257811680067,0.004103737741999354,0.5361007795919226
C_Indep,Independent directors,0.0009524785139423986,0.0049497771127823805,0.5361007795919226
C_Occupy,Shareholder tunneling,-0.0005978272289813868,0.002138789381831318,0.5361007795919226
Affected_x_S_FC,Exposure x supplier constraint,-0.0015815104330831776,0.001936811495056674,0.5361007795919226
year_c,Calendar year,-0.0016952446994052339,0.0012371710369942608,0.5361007795919226
C_Frequency,Trading frequency,-0.0024823488621319003,0.0038391669612934044,0.5361007795919226
C_Board,Board size,-0.0032229611885098565,0.003782214544452409,0.5361007795919226
C_Ppe,Customer fixed assets,-0.004525363004055476,0.004023914589500585,0.5361007795919226
C_Inv,Customer inventory,-0.005805648364117664,0.004205385697010177,0.5361007795919226
Climate_CityC,Customer-city climate shock,-0.0060978377356110825,0.003953108710651697,0.5361007795919226
